sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0227,0.8902,0.0871
6.9,3.1,5.1,2.3,virginica,0.0001,0.0658,0.9341
5.1,2.5,3.0,1.1,versicolor,0.1352,0.8561,0.0087
4.4,2.9,,0.2,setosa,0.8051,0.1948,0.0001
5.9,3.0,5.1,1.8,virginica,0.0038,0.3131,0.6831
5.5,3.5,1.3,0.2,setosa,0.963,0.037,0.0
5.6,,3.6,1.3,versicolor,0.1452,0.8298,0.025
6.5,3.0,5.2,2.0,virginica,0.0004,0.153,0.8466
5.3,3.7,1.5,0.2,setosa,0.9839,0.0161,0.0
5.1,3.4,1.5,,setosa,0.891,0.1089,0.0001
6.1,2.8,4.0,1.3,versicolor,0.02,0.9159,0.0641
5.5,2.4,3.7,1.0,versicolor,0.0341,0.9462,0.0197
7.7,3.0,6.1,2.3,virginica,0.0,0.0147,0.9853
6.9,3.1,4.9,1.5,versicolor,0.0033,0.7016,0.2951
6.0,2.2,5.0,1.5,virginica,0.0006,0.4368,0.5626
