sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0091,0.9272,0.0638
6.9,3.1,5.1,2.3,virginica,0.0098,0.0103,0.9798
5.1,2.5,3.0,1.1,versicolor,0.0252,0.9442,0.0305
4.4,2.9,,0.2,setosa,0.4749,0.3738,0.1514
5.9,3.0,5.1,1.8,virginica,0.0124,0.188,0.7996
5.5,3.5,1.3,0.2,setosa,0.9448,0.0307,0.0245
5.6,,3.6,1.3,versicolor,0.0313,0.9562,0.0125
6.5,3.0,5.2,2.0,virginica,0.0089,0.028,0.9631
5.3,3.7,1.5,0.2,setosa,0.9508,0.0257,0.0234
5.1,3.4,1.5,,setosa,0.6932,0.2176,0.0891
6.1,2.8,4.0,1.3,versicolor,0.0122,0.9724,0.0153
5.5,2.4,3.7,1.0,versicolor,0.0139,0.9612,0.0249
7.7,3.0,6.1,2.3,virginica,0.0118,0.0108,0.9774
6.9,3.1,4.9,1.5,versicolor,0.0159,0.7574,0.2266
6.0,2.2,5.0,1.5,virginica,0.0167,0.1859,0.7975
