id,loan_status,aproval_prob
58645,1,0.9938
58646,0,0.0181
58647,1,0.6953
58648,0,0.013
58649,0,0.0636
58650,1,0.9598
58651,0,0.0033
58652,0,0.0112
58653,0,0.2678
58654,0,0.0132
58655,0,0.0266
58656,0,0.0883
58657,0,0.0152
58658,0,0.0084
58659,0,0.0181
58660,0,0.0773
58661,0,0.0098
58662,0,0.0036
58663,0,0.0415
58664,0,0.0042
58665,0,0.025
58666,0,0.0099
58667,0,0.0054
58668,0,0.008
58669,0,0.0106
58670,0,0.0014
58671,0,0.1804
58672,0,0.0036
58673,1,0.9208
58674,0,0.0055
58675,0,0.0182
58676,0,0.2904
58677,0,0.032
58678,0,0.0062
58679,0,0.4373
58680,1,0.9683
58681,0,0.0233
58682,0,0.0018
58683,0,0.0074
58684,0,0.3135
58685,0,0.1382
58686,0,0.0242
58687,0,0.3531
58688,0,0.0904
58689,0,0.2741
58690,0,0.001
58691,0,0.0225
58692,0,0.0275
58693,0,0.0065
58694,0,0.0204
58695,1,0.9124
58696,0,0.0171
58697,0,0.0316
58698,0,0.0182
58699,0,0.0108
58700,0,0.0063
58701,0,0.0075
58702,0,0.0221
58703,0,0.0903
58704,1,0.5007
58705,0,0.0796
58706,0,0.0397
58707,0,0.0101
58708,0,0.038
58709,1,0.9229
58710,0,0.0383
58711,1,0.9424
58712,0,0.0385
58713,0,0.006
58714,0,0.0256
58715,0,0.0048
58716,0,0.1811
58717,0,0.0192
58718,0,0.0489
58719,0,0.0033
58720,0,0.0018
58721,0,0.0643
58722,0,0.0751
58723,0,0.0166
58724,0,0.0137
58725,0,0.0194
58726,0,0.0107
58727,0,0.1593
58728,0,0.118
58729,0,0.0229
58730,0,0.0041
58731,0,0.0134
58732,0,0.2044
58733,0,0.0007
58734,0,0.0186
58735,0,0.0211
58736,0,0.0626
58737,0,0.0364
58738,1,0.9826
58739,0,0.0536
58740,1,0.8953
58741,0,0.0374
58742,0,0.0079
58743,0,0.021
58744,0,0.0076
58745,0,0.0077
58746,0,0.0494
58747,0,0.0061
58748,0,0.0132
58749,0,0.0251
58750,0,0.0152
58751,0,0.0611
58752,1,0.8653
58753,0,0.0031
58754,0,0.0835
58755,0,0.0723
58756,0,0.0078
58757,0,0.0364
58758,0,0.0083
58759,0,0.0015
58760,0,0.0021
58761,0,0.0153
58762,0,0.0038
58763,1,0.9613
58764,0,0.0016
58765,0,0.0358
58766,0,0.0096
58767,0,0.0181
58768,1,0.9332
58769,0,0.005
58770,0,0.0338
58771,0,0.0805
58772,0,0.0208
58773,0,0.0203
58774,0,0.013
58775,1,0.9179
58776,1,0.5931
58777,0,0.0102
58778,0,0.0111
58779,0,0.0346
58780,0,0.04
58781,0,0.0132
58782,0,0.0844
58783,0,0.0339
58784,0,0.0093
58785,0,0.0074
58786,0,0.0294
58787,0,0.062
58788,0,0.1204
58789,0,0.014
58790,0,0.026
58791,0,0.0846
58792,0,0.0011
58793,0,0.0364
58794,0,0.0115
58795,0,0.0217
58796,0,0.0245
58797,0,0.0136
58798,0,0.0919
58799,1,0.8315
58800,0,0.0323
58801,0,0.0036
58802,1,0.8318
58803,0,0.3034
58804,0,0.4289
58805,1,0.8726
58806,0,0.056
58807,0,0.0136
58808,0,0.0262
58809,1,0.9552
58810,1,0.8835
58811,0,0.0407
58812,0,0.0581
58813,0,0.0105
58814,0,0.0136
58815,0,0.0115
58816,0,0.0149
58817,0,0.0015
58818,0,0.0472
58819,0,0.1251
58820,0,0.0026
58821,0,0.0309
58822,0,0.0034
58823,0,0.1699
58824,0,0.0392
58825,0,0.0018
58826,0,0.0744
58827,0,0.0355
58828,0,0.0094
58829,0,0.1025
58830,0,0.013
58831,0,0.0332
58832,0,0.013
58833,0,0.0053
58834,0,0.0125
58835,1,0.9703
58836,0,0.0682
58837,0,0.0724
58838,0,0.0079
58839,0,0.0017
58840,0,0.0085
58841,1,0.9516
58842,0,0.0047
58843,0,0.0165
58844,0,0.0525
58845,0,0.1557
58846,0,0.0007
58847,1,0.9418
58848,0,0.1252
58849,0,0.3011
58850,0,0.0266
58851,0,0.0865
58852,0,0.2682
58853,0,0.0354
58854,1,0.9793
58855,0,0.1542
58856,0,0.003
58857,0,0.0717
58858,0,0.1633
58859,0,0.0181
58860,0,0.0086
58861,0,0.0357
58862,0,0.1499
58863,0,0.2252
58864,0,0.017
58865,0,0.314
58866,0,0.0146
58867,0,0.0007
58868,0,0.0202
58869,0,0.0093
58870,0,0.1107
58871,0,0.0065
58872,0,0.0174
58873,0,0.0129
58874,1,0.9712
58875,0,0.015
58876,0,0.0079
58877,0,0.0025
58878,0,0.0247
58879,0,0.0089
58880,0,0.0485
58881,0,0.0373
58882,0,0.0025
58883,0,0.1723
58884,0,0.174
58885,0,0.1138
58886,0,0.0066
58887,1,0.958
58888,0,0.3836
58889,1,0.9634
58890,0,0.0824
58891,0,0.3989
58892,0,0.0486
58893,0,0.0111
58894,0,0.0482
58895,0,0.0043
58896,0,0.0038
58897,0,0.034
58898,0,0.1094
58899,1,0.9643
58900,0,0.0145
58901,0,0.0674
58902,0,0.1094
58903,0,0.008
58904,0,0.0407
58905,0,0.0051
58906,0,0.0754
58907,0,0.045
58908,0,0.005
58909,0,0.05
58910,0,0.0014
58911,0,0.0124
58912,0,0.0019
58913,0,0.263
58914,0,0.016
58915,0,0.0204
58916,0,0.0132
58917,0,0.0281
58918,0,0.0149
58919,0,0.006
